beigntime,endtime,duration,dis,stop_lat,stop_lon,depot_id,energy_no_air,energy_air,busname,,
22737,22858,121,33.4353453,38.49523,106.167623,3,21.1594843,32.79281764,21099755,,
79422,18534,25512,45.63917477,38.492161,106.166134,3,27.56942742,184.649983,21099755,,
28639,30383,1744,24.07852225,38.492759,106.165335,3,15.31789391,30.27344946,55800633,,
35707,39452,3745,24.37821893,38.492542,106.165287,3,14.82705726,29.57427948,55800633,,
44816,47716,2900,24.49154533,38.494136,106.16525,3,16.22291704,31.0784726,55800633,,
53096,56463,3367,24.74486678,38.492437,106.165254,3,14.01605853,28.91883631,55800633,,
61771,64132,2361,24.36096443,38.493186,106.165427,3,14.66472479,29.36750256,55800633,,
69408,23240,40232,24.92697163,38.496113,106.16686,3,14.75911515,29.37578182,55800633,,
32193,51028,18835,9.038235883,38.493074,106.165434,3,5.05300656,12.572451,55800637,,
58857,62585,3728,36.15233323,38.496025,106.166199,3,24.15247712,45.85803268,55800637,,
63156,63321,165,0.4624448,38.492971,106.166376,3,0.266296776,1.810741221,55800637,,
66085,29471,49786,9.25555075,38.496198,106.166684,3,5.100565692,12.73389903,55800637,,
29201,31099,1898,24.45400382,38.492979,106.165385,3,15.65616369,30.67838591,55800638,,
36306,40112,3806,24.53855338,38.492665,106.165332,3,16.37649139,30.80149139,55800638,,
45419,48322,2903,24.21217032,38.495223,106.165092,3,16.37518503,31.07518503,55800638,,
53581,57221,3640,24.15483282,38.495258,106.165069,3,16.65683767,31.22350433,55800638,,
62949,64649,1700,23.93307358,38.493488,106.165416,3,16.27446587,32.14391032,55800638,,
70136,23778,40042,24.39129522,38.495855,106.166698,3,16.50093042,31.69815264,55800638,,
31920,35331,3411,24.67245045,38.492941,106.165366,3,16.07105447,30.55994336,55800651,,
40625,44070,3445,25.12412277,38.492762,106.165367,3,14.99655016,29.66043905,55800651,,
49384,52125,2741,24.95916083,38.492557,106.165254,3,15.98918314,30.70862759,55800651,,
57421,60865,3444,24.37508917,38.492568,106.165326,3,15.24375153,29.91319597,55800651,,
66232,67418,1186,24.16338678,38.493147,106.16536,3,17.36314431,32.2270332,55800651,,
72780,26689,40309,25.02119447,38.496073,106.167172,3,16.43244214,31.2879977,55800651,,
31523,32366,843,36.4432197,38.492762,106.165368,3,25.45215884,46.2577144,55800653,,
40251,41558,1307,37.10664525,38.49263,106.165333,3,24.11727713,45.97838824,55800653,,
50098,52143,2045,36.74574397,38.492701,106.165348,3,24.07034153,47.75367487,55800653,,
59810,61164,1354,36.10008758,38.496088,106.166274,3,23.4239944,44.67954995,55800653,,
61179,61419,240,0.4111688,38.492824,106.16545,3,0,0.002777778,55800653,,
68396,24019,42023,36.79143177,38.496036,106.166314,3,25.0735904,44.40970152,55800653,,
31133,33918,2785,24.68812977,38.492411,106.165255,3,13.75294691,28.95572469,55800677,,
39195,42742,3547,24.54364087,38.492926,106.165402,3,14.59117924,29.20506813,55800677,,
48064,50681,2617,24.85684817,38.492492,106.165305,3,14.28439603,29.0260627,55800677,,
55989,59678,3689,24.60258162,38.492869,106.165408,3,15.08350914,29.78628692,55800677,,
64971,66537,1566,24.4630778,38.492523,106.165261,3,15.95767995,30.62156884,55800677,,
71817,25645,40228,24.55530943,38.496092,106.167095,3,15.44857324,30.07357324,55800677,,
31855,33629,1774,19.22690332,38.493107,106.165377,3,12.48004494,25.22726716,55800698,,
38231,40502,2271,18.08319767,38.495948,106.166543,3,12.73402738,25.47569405,55800698,,
45193,46806,1613,18.89039915,38.493475,106.165371,3,12.93272818,25.92439485,55800698,,
51549,52329,780,18.75446082,38.493617,106.165394,3,12.26710322,25.40043655,55800698,,
56484,58470,1986,19.379632,38.492985,106.165398,3,12.55708974,24.05431196,55800698,,
63025,63627,602,19.12827773,38.493552,106.165387,3,12.9049774,25.51608851,55800698,,
67927,68423,496,18.91432688,38.493498,106.165332,3,13.37074071,25.27074071,55800698,,
72918,27251,40733,19.08894613,38.495949,106.166576,3,12.73254295,25.1769874,55800698,,
70908,21938,37430,116.9181205,38.495761,106.166597,3,73.968573,209.8713508,55802377,,
29836,31803,1967,24.2067364,38.493185,106.16537,3,15.38809643,30.79365198,55803009,,
37395,40827,3432,24.33801705,38.492647,106.165336,3,14.85836446,30.35003113,55803009,,
46258,48876,2618,24.36458545,38.492808,106.16537,3,16.60370332,31.64536999,55803009,,
54172,57888,3716,24.56011863,38.49232,106.165248,3,15.26716743,29.9338341,55803009,,
63205,65085,1880,24.17297215,38.492884,106.165402,3,16.629024,31.35957955,55803009,,
70502,24275,40173,24.80055382,38.49598,106.166676,3,16.24057473,31.24613028,55803009,,
34979,35703,724,36.8026768,38.49303,106.165361,3,23.23637694,43.93359916,55803059,,
43983,45426,1443,36.67882715,38.492538,106.165343,3,24.53654899,47.4976601,55803059,,
53929,55749,1820,37.5088745,38.492519,106.165296,3,24.24370931,47.82148709,55803059,,
63055,64738,1683,36.95367942,38.49253,106.165319,3,23.81978819,44.07256596,55803059,,
71800,27513,42113,37.00849327,38.495941,106.16619,3,23.72774645,43.30274645,55803059,,
32429,36069,3640,24.68069803,38.492656,106.165316,3,16.15883405,31.06438961,55803080,,
41455,44673,3218,24.19627472,38.49241,106.165288,3,16.3970405,31.31370717,55803080,,
49990,52864,2874,24.49951145,38.492379,106.165257,3,14.96656355,29.69434133,55803080,,
58416,61484,3068,22.71574525,38.49292,106.165398,3,15.4658593,29.67974819,55803080,,
66893,68052,1159,24.36444157,38.492993,106.165346,3,15.92870201,30.91203534,55803080,,
73493,27033,39940,24.60764922,38.496004,106.167269,3,15.79521949,30.86744171,55803080,,
73097,22454,35757,130.7007758,38.49601,106.166603,3,74.44981007,215.0831434,55804668,,
26731,28838,2107,15.24346593,38.49589,106.166616,3,9.503120222,19.89478689,55805008,,
33315,34954,1639,19.42494633,38.492713,106.1653,3,13.35296549,25.74740993,55805008,,
39541,41408,1867,18.54052818,38.49594,106.166584,3,12.58320024,25.28320024,55805008,,
45800,47781,1981,19.68288962,38.492629,106.165287,3,12.91120873,25.06954206,55805008,,
52149,53098,949,19.06726538,38.492807,106.165328,3,12.95258752,25.04425419,55805008,,
57429,59433,2004,19.13769943,38.492867,106.165358,3,12.90177414,24.89066303,55805008,,
63763,64529,766,19.28544318,38.492568,106.165313,3,13.15552737,25.1388607,55805008,,
68949,22975,40426,18.96649277,38.495702,106.16664,3,12.20062745,24.43396079,55805008,,
34161,34717,556,37.6065178,38.492705,106.165322,3,21.55621969,42.93399747,55805029,,
42778,44209,1431,37.89338283,38.493088,106.165455,3,20.0701803,42.4201803,55805029,,
52864,54623,1759,36.58624707,38.492865,106.16536,3,26.00732859,50.00732859,55805029,,
62330,63639,1309,36.4611043,38.492974,106.16543,3,24.30864243,45.6753091,55805029,,
70743,26449,42106,36.63225272,38.495985,106.166317,3,26.51341269,46.20507935,55805029,,
70566,24459,40293,112.8786697,38.495905,106.166674,3,73.88160766,201.914941,55805038,,
30369,32475,2106,24.5699703,38.492566,106.165282,3,15.61779517,31.27057294,55805052,,
37875,41436,3561,24.43781703,38.492893,106.165399,3,16.14790887,31.1062422,55805052,,
46744,49464,2720,23.9890973,38.492324,106.165256,3,16.25082113,30.95637669,55805052,,
54906,58469,3563,23.7069643,38.492773,106.165362,3,15.62930107,30.70430107,55805052,,
64404,65578,1174,23.9225123,38.492875,106.165329,3,15.95016495,32.3946094,55805052,,
70979,24718,40139,24.86881007,38.49578,106.166486,3,15.81680954,30.78069843,55805052,,
29897,21593,78096,58.35035607,38.496008,106.16614,3,36.88243609,59.91021386,55805087,,
